"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"CDA"	3.04362297607407e-22	-2.12752164096282	0.017	0.335	3.85718339757867e-18	"0"	"CDA"
"CD37"	3.93719974771897e-22	-1.43437135175697	0.69	0.89	4.98961324028425e-18	"0"	"CD37"
"IL7R"	4.59079358607518e-22	2.15565481383339	0.556	0.103	5.81791271163308e-18	"0"	"IL7R"
"NPC2"	4.60537648809359e-22	-2.22027522253484	0.226	0.6	5.83639362336101e-18	"0"	"NPC2"
"PYCARD"	6.2393268859098e-22	-1.95655880988323	0.175	0.568	7.90709896251349e-18	"0"	"PYCARD"
"CD2"	1.16938150741944e-21	2.18710684565258	0.495	0.052	1.48195718435265e-17	"0"	"CD2"
"MS4A1"	1.22450086280269e-21	-2.25377915020578	0.047	0.387	1.55180994342985e-17	"0"	"MS4A1"
"LGALS3"	1.80274163225919e-21	-1.92846431942817	0.108	0.49	2.28461447056207e-17	"0"	"LGALS3"
"IFITM1"	2.54511586986333e-21	1.86857441624236	0.609	0.155	3.2254253418778e-17	"0"	"IFITM1"
"HLA-DQA2"	2.98252930907781e-21	-1.83452519385116	0.01	0.303	3.77975939339431e-17	"0"	"HLA-DQA2"
"SLC7A7"	4.21494906012648e-21	-1.56455260622785	0.01	0.303	5.34160494389829e-17	"0"	"SLC7A7"
"CEBPD"	5.09951744115355e-21	-1.78099475907088	0.084	0.465	6.4626184531739e-17	"0"	"CEBPD"
"MNDA"	2.41719761602023e-20	-1.45291896235872	0.007	0.284	3.06331453878244e-16	"0"	"MNDA"
"FGR"	7.98302747859726e-20	-1.49502632115109	0.064	0.413	1.01168907236263e-15	"0"	"FGR"
"FCGRT"	2.1954619565115e-19	-1.58379749750359	0.081	0.432	2.78230893748702e-15	"0"	"FCGRT"
"IFITM3"	2.91552919956279e-19	-2.0785655333319	0.071	0.4	3.69485015460592e-15	"0"	"IFITM3"
"BLVRB"	1.23723030850938e-18	-1.41781786314736	0.054	0.374	1.56794196997394e-14	"0"	"BLVRB"
"IGSF6"	1.82249792267244e-18	-1.51076307387674	0.01	0.271	2.30965161740278e-14	"0"	"IGSF6"
"FPR1"	2.34844504797123e-18	-1.40285629511658	0.013	0.277	2.97618440929394e-14	"0"	"FPR1"
"TCL1A"	3.26514763836534e-18	-2.74147683981336	0.01	0.265	4.13792160210039e-14	"0"	"TCL1A"
"RARRES3"	5.56970274846759e-18	1.68069916533521	0.589	0.181	7.05848429313298e-14	"0"	"RARRES3"
"CD68"	6.65227705475227e-18	-1.56694316430092	0.054	0.368	8.43043071148755e-14	"0"	"CD68"
"RNASE6"	2.11258930332158e-17	-1.3764390400657	0.013	0.265	2.67728442409944e-13	"0"	"RNASE6"
"CD247"	2.73319795220089e-17	2.07355195948231	0.387	0.019	3.46378176482419e-13	"0"	"CD247"
"C19orf38"	2.84058939155592e-17	-1.18735795767665	0.007	0.245	3.59987893591882e-13	"0"	"C19orf38"
"CTSW"	3.83671937327994e-17	2.51190454181332	0.451	0.071	4.86227446175767e-13	"0"	"CTSW"
"LILRA5"	4.49530310207448e-17	-1.10134661351343	0.003	0.232	5.69689762125899e-13	"0"	"LILRA5"
"AES"	5.6060590360735e-17	1.37995200348588	0.657	0.232	7.10455861641595e-13	"0"	"AES"
"BRI3"	6.61254324914245e-17	-1.47935938131655	0.071	0.374	8.38007605963822e-13	"0"	"BRI3"
"PILRA"	8.15860104427048e-17	-1.28899933881238	0.007	0.239	1.0339395103404e-12	"0"	"PILRA"
